ATO_ID,ra,dec
J281.4625-20.7530,281.46258,-20.75302
J271.1655+02.9834,271.16553,2.98344
J271.0390+02.0116,271.039,2.01164
J094.7700+20.5315,94.77008,20.53156
J094.8822+20.5384,94.88222,20.53843
J275.0977+25.6412,275.09772,25.64127
J312.2450+27.7801,312.24502,27.78019
J320.5557+48.8625,320.55577,48.86255
J344.4079+40.9552,344.40791,40.95527
J287.2900+13.5927,287.29004,13.59271
J114.9268+18.8000,114.92682,18.80006
J257.9747-19.7362,257.97472,-19.73628
J190.0226-05.5703,190.02263,-5.57038
J190.9811-06.8597,190.98116,-6.85976
J271.5634-06.1303,271.5635,-6.1303
J271.8042-06.9351,271.8042,-6.9351
J271.7791-06.0975,271.77912,-6.09756
J279.2588-17.5665,279.25885,-17.5665
J077.5608+38.9862,77.56086,38.98622
J303.7035+61.0334,303.7035,61.03344
J102.7250+05.4768,102.72506,5.47687
J266.1547-08.2781,266.15478,-8.27814
J271.8702-06.5611,271.8702,-6.5611
J271.3263-06.5609,271.32637,-6.56093
J271.8480-06.5594,271.848,-6.5594
